project_id,project_type,state,district,land_area_acres,affected_families,villages_affected,legal_disputes,ownership_conflicts,pending_court_cases,documentation_completion_pct,missing_documents,compensation_completion_pct,compensation_pending_cases,average_compensation_delay_days,rehabilitation_completion_pct,resettlement_completion_pct,affected_families_rehabilitated,pending_approvals,approval_delay_days,stakeholder_response_delay_days,current_stage,days_in_current_stage,possession_completion_pct,historical_delay_rate,days_remaining_to_target,previous_stage_delay_days,delay_flag,actual_delay_days
BG-42-000033,Industrial Corridor,Telangana,Hyderabad,38.75,106,4,2,4,1,67.1,4,0.0,98,92,0.0,0.0,0,3,55,173,Objections,109,12.31,0.6908,357,70,0,0
BG-42-000034,Highway,Rajasthan,Udaipur,41.11,48,5,0,2,0,80.35,1,64.95,12,13,43.11,47.48,19,3,29,65,Award,89,68.82,0.519,425,27,0,0
BG-42-000035,Irrigation,Telangana,Warangal,289.26,526,8,1,5,2,62.56,6,55.02,154,27,58.1,71.14,277,2,42,240,Award,88,63.46,0.4462,254,61,1,257
BG-42-000036,Irrigation,Uttar Pradesh,Varanasi,80.86,173,5,2,4,0,73.97,5,0.0,160,93,0.0,2.45,0,3,50,125,Survey,70,14.99,0.6937,505,65,0,0
BG-42-000037,Irrigation,Uttar Pradesh,Agra,22.35,79,2,2,4,0,64.77,2,0.0,65,98,0.0,11.47,0,2,57,189,Survey,100,0.0,0.2605,323,56,1,332
BG-42-000038,Industrial Corridor,Rajasthan,Jodhpur,116.43,260,3,0,6,2,90.25,6,22.58,179,79,29.52,18.02,75,3,26,328,Award,59,32.46,0.5907,8,60,1,250
BG-42-000039,Metro,Madhya Pradesh,Jabalpur,95.85,138,5,1,3,1,77.18,2,0.02,100,88,10.29,22.4,13,2,33,127,Survey,150,0.0,0.318,276,52,1,320
BG-42-000040,Metro,Uttar Pradesh,Lucknow,59.79,117,5,0,0,0,84.17,1,100.0,0,17,71.65,67.12,74,3,51,95,Compensation,44,100.0,0.1302,38,39,0,0
BG-42-000041,Highway,Rajasthan,Udaipur,37.85,33,3,0,1,1,75.91,1,63.31,11,38,67.51,83.28,21,0,15,44,Award,85,85.72,0.5268,342,15,0,0
BG-42-000042,Metro,Madhya Pradesh,Bhopal,36.56,53,6,2,2,2,83.36,2,60.76,17,47,30.04,20.29,14,4,87,30,Rehabilitation & Resettlement,141,55.92,0.6478,187,59,1,270
BG-42-000043,Industrial Corridor,Tamil Nadu,Madurai,204.24,316,6,0,3,1,92.54,0,73.58,75,3,91.78,98.35,266,3,32,184,Compensation,50,100.0,0.4965,82,69,0,0
BG-42-000044,Industrial Corridor,Telangana,Warangal,104.38,226,7,0,5,1,84.65,4,9.68,187,59,22.0,10.4,44,1,0,151,Objections,58,17.46,0.3072,204,38,1,184
BG-42-000045,Railway,Rajasthan,Jaipur,125.58,258,7,1,6,2,76.81,4,86.6,27,23,78.9,67.85,200,3,82,191,Rehabilitation & Resettlement,103,100.0,0.4327,7,62,1,160
BG-42-000046,Metro,Madhya Pradesh,Indore,104.15,200,9,3,3,5,79.22,2,55.31,84,66,47.46,63.32,85,5,72,81,Rehabilitation & Resettlement,119,95.73,0.728,340,61,1,251
BG-42-000047,Industrial Corridor,Uttar Pradesh,Agra,111.29,102,7,2,2,3,81.14,4,6.45,83,112,0.0,0.0,0,2,36,113,Award,68,24.13,0.1898,181,46,1,244
BG-42-000048,Railway,Gujarat,Ahmedabad,58.87,23,3,2,3,2,61.07,5,1.57,15,104,11.89,11.88,3,6,103,69,Objections,185,24.36,0.2122,187,80,1,347
BG-42-000049,Irrigation,Tamil Nadu,Coimbatore,72.63,141,7,1,2,2,82.23,2,91.88,9,30,41.11,29.73,57,2,42,98,Compensation,48,58.47,0.1763,174,43,0,0
BG-42-000050,Industrial Corridor,Gujarat,Ahmedabad,217.44,346,10,1,4,2,70.75,7,0.0,260,108,37.3,35.58,115,2,43,155,Survey,57,33.07,0.4658,282,46,1,287
BG-42-000051,Highway,Tamil Nadu,Chennai,265.52,466,6,1,8,0,62.42,5,5.31,309,82,10.55,24.81,47,4,46,336,Survey,79,0.0,0.4395,356,87,1,355
BG-42-000052,Highway,Rajasthan,Jaipur,32.21,117,5,0,2,0,84.94,2,41.64,52,69,21.03,21.3,24,1,8,109,Notification,21,45.36,0.0,244,19,1,184
BG-42-000053,Industrial Corridor,Telangana,Nizamabad,72.49,190,6,2,5,2,80.82,6,95.92,7,31,67.67,61.4,128,2,50,158,Rehabilitation & Resettlement,71,69.19,0.5106,231,135,1,322
BG-42-000054,Railway,Uttar Pradesh,Agra,167.57,225,7,1,5,0,92.82,5,61.01,69,55,64.83,59.68,132,0,28,184,Compensation,35,62.14,0.1802,130,94,0,0
BG-42-000055,Power Transmission,Uttar Pradesh,Varanasi,385.93,639,7,0,9,4,95.95,2,49.05,298,50,40.52,37.54,250,3,29,414,Compensation,85,81.57,0.2487,209,83,1,239
BG-42-000056,Highway,Tamil Nadu,Salem,356.23,850,9,2,17,4,86.94,8,75.61,164,44,91.37,89.75,771,2,42,475,Rehabilitation & Resettlement,122,100.0,0.2939,295,136,1,332
BG-42-000057,Highway,Gujarat,Vadodara,45.3,106,4,1,5,0,87.22,5,67.84,24,39,54.79,56.02,56,1,24,124,Award,108,69.05,0.2174,212,54,0,0
BG-42-000058,Railway,Rajasthan,Jodhpur,237.47,520,10,1,9,3,81.32,5,47.3,233,25,49.45,53.83,229,1,20,241,Compensation,46,62.93,0.3402,269,93,0,0
BG-42-000059,Power Transmission,Rajasthan,Udaipur,89.74,69,6,1,1,0,70.02,3,14.67,37,104,1.24,0.0,1,3,30,53,Survey,66,11.97,0.268,392,65,0,0
BG-42-000060,Irrigation,Maharashtra,Pune,197.46,414,7,2,6,0,66.33,5,27.7,230,91,13.52,16.32,53,3,66,251,Survey,124,17.23,0.2525,236,62,1,335
BG-42-000061,Irrigation,Maharashtra,Nagpur,160.87,176,6,3,2,3,73.9,3,18.57,126,89,16.39,0.98,26,4,59,133,Compensation,131,36.08,0.4815,54,60,1,313
BG-42-000062,Metro,Maharashtra,Pune,31.15,38,4,0,2,0,92.31,0,26.92,25,78,8.53,8.11,3,1,36,90,Award,37,26.99,0.3099,93,13,1,157
BG-42-000063,Power Transmission,Telangana,Karimnagar,132.95,275,7,0,7,0,100.0,3,57.44,73,30,82.33,74.32,210,2,18,205,Compensation,129,77.84,0.2815,48,92,1,269
BG-42-000064,Highway,Telangana,Hyderabad,191.44,454,7,2,7,3,82.59,4,76.6,96,21,73.36,70.01,331,4,103,269,Rehabilitation & Resettlement,113,94.84,0.8777,92,77,1,277
BG-42-000065,Industrial Corridor,Maharashtra,Pune,84.26,80,6,2,5,2,69.09,4,23.01,49,70,37.89,40.02,29,4,78,70,Compensation,153,69.94,0.2831,258,75,0,0
BG-42-000066,Irrigation,Maharashtra,Nashik,70.31,196,5,0,2,0,78.12,3,45.56,67,46,73.65,82.66,138,0,0,151,Compensation,97,83.52,0.5445,299,22,0,0
BG-42-000067,Railway,Telangana,Nizamabad,24.35,48,1,0,3,2,81.93,1,100.0,0,6,93.18,88.98,44,2,31,197,Compensation,70,100.0,0.3927,236,74,0,0
BG-42-000068,Irrigation,Rajasthan,Jaipur,147.95,236,8,0,5,0,66.6,5,40.48,98,29,38.65,39.46,85,0,5,129,Objections,46,50.96,0.3435,230,71,0,0
BG-42-000069,Highway,Tamil Nadu,Coimbatore,101.19,196,7,2,3,2,90.6,5,0.0,141,60,0.0,0.0,0,1,30,125,Notification,64,5.57,0.5545,172,67,1,328
BG-42-000070,Highway,Rajasthan,Jodhpur,40.95,87,5,0,2,0,87.4,4,32.39,38,36,24.29,8.09,20,3,73,107,Award,56,62.17,0.3845,272,20,0,0
BG-42-000071,Metro,Karnataka,Belagavi,65.98,123,5,0,2,1,100.0,2,54.73,31,27,42.17,42.29,51,0,39,96,Survey,112,31.99,0.2282,289,53,0,0
BG-42-000072,Irrigation,Karnataka,Kalaburagi,96.89,210,6,3,5,5,83.49,4,31.0,106,98,0.0,14.32,0,1,35,163,Award,97,31.45,0.7403,254,86,0,0
BG-42-000073,Railway,Tamil Nadu,Madurai,54.77,102,6,1,1,2,89.78,0,54.7,43,12,81.51,87.1,82,1,54,87,Rehabilitation & Resettlement,81,100.0,0.4679,180,37,0,0
BG-42-000074,Power Transmission,Madhya Pradesh,Jabalpur,85.81,196,5,0,7,3,80.81,4,2.07,178,96,2.02,0.0,4,2,22,230,Objections,45,10.28,0.2982,155,50,1,309
BG-42-000075,Highway,Telangana,Warangal,21.12,70,5,2,2,0,77.56,4,19.76,42,61,6.79,1.48,4,3,38,84,Notification,110,0.0,0.3915,149,78,1,385
BG-42-000076,Power Transmission,Karnataka,Kalaburagi,252.03,496,7,2,11,0,67.64,7,10.76,403,79,0.0,0.0,0,1,51,310,Objections,74,0.0,0.3983,86,107,1,460
BG-42-000077,Industrial Corridor,Rajasthan,Jaipur,86.72,137,6,2,6,1,63.94,9,54.45,37,55,53.49,56.7,71,3,49,164,Objections,143,64.96,0.5275,143,56,1,349
BG-42-000078,Highway,Madhya Pradesh,Bhopal,35.53,60,4,0,2,1,86.04,0,49.52,27,46,51.57,50.13,31,2,43,60,Compensation,67,69.55,0.6597,190,44,0,0
BG-42-000079,Industrial Corridor,Madhya Pradesh,Bhopal,11.97,3,4,0,0,1,100.0,0,87.08,0,27,75.45,61.71,2,3,51,0,Compensation,93,100.0,0.6818,289,4,0,0
BG-42-000080,Industrial Corridor,Telangana,Warangal,195.06,392,6,3,4,3,81.22,2,81.35,42,0,86.9,90.38,321,1,31,231,Rehabilitation & Resettlement,123,100.0,0.5826,166,66,0,0
BG-42-000081,Metro,Karnataka,Mysuru,133.82,222,6,1,4,3,91.32,4,52.23,61,85,61.57,64.06,129,2,48,154,Compensation,93,88.94,0.2918,233,48,1,262
BG-42-000082,Highway,Karnataka,Kalaburagi,101.35,115,4,0,2,1,94.17,3,67.72,21,47,56.73,54.78,61,0,36,125,Award,95,68.93,0.346,297,52,0,0
BG-42-000083,Highway,Karnataka,Belagavi,170.87,396,6,2,3,2,81.68,1,59.59,109,35,71.71,71.45,274,0,18,227,Rehabilitation & Resettlement,74,100.0,0.3373,178,57,0,0
BG-42-000084,Irrigation,Karnataka,Mysuru,170.5,361,7,2,10,3,84.63,4,2.06,271,106,3.09,0.0,11,2,53,262,Survey,82,15.87,0.1723,361,104,0,0
BG-42-000085,Industrial Corridor,Karnataka,Bengaluru Urban,100.04,203,4,1,5,2,90.73,2,0.0,175,113,17.56,27.64,34,3,40,187,Notification,55,0.0,0.7568,369,88,0,0
BG-42-000086,Power Transmission,Tamil Nadu,Madurai,69.87,151,5,1,3,2,79.12,4,16.26,100,135,19.72,6.09,26,4,76,144,Survey,82,11.07,0.2622,305,43,1,303
BG-42-000087,Industrial Corridor,Rajasthan,Jodhpur,61.33,198,6,3,6,2,68.38,6,60.51,59,68,53.45,51.06,97,5,69,160,Rehabilitation & Resettlement,171,100.0,0.4514,186,96,0,0
BG-42-000088,Power Transmission,Uttar Pradesh,Agra,119.91,186,6,3,2,4,58.09,2,19.48,97,81,24.42,22.59,43,6,107,130,Award,124,50.13,0.4002,158,89,0,0
BG-42-000089,Highway,Uttar Pradesh,Kanpur Nagar,261.81,283,9,3,1,2,83.2,2,0.0,224,96,17.1,12.05,43,2,39,107,Survey,121,9.37,0.2597,330,70,1,294
BG-42-000090,Metro,Karnataka,Belagavi,78.86,137,4,1,1,0,96.48,1,36.58,82,40,27.51,26.04,36,2,33,131,Award,106,73.99,0.4732,169,38,1,218
BG-42-000091,Industrial Corridor,Karnataka,Kalaburagi,278.99,688,9,2,11,6,71.09,7,4.29,609,113,0.0,0.0,0,2,13,341,Survey,80,9.73,0.2046,76,99,1,415
BG-42-000092,Highway,Madhya Pradesh,Indore,115.41,223,6,0,6,2,92.25,4,56.61,68,49,56.51,50.03,125,2,13,159,Compensation,119,76.27,0.1243,7,55,1,272
BG-42-000093,Highway,Rajasthan,Jodhpur,116.11,82,6,1,4,1,100.0,2,29.38,43,77,34.98,25.23,29,3,24,88,Award,59,60.06,0.2562,310,52,0,0
BG-42-000094,Industrial Corridor,Karnataka,Belagavi,586.45,1251,12,1,19,9,82.4,10,20.34,714,80,0.43,0.0,5,2,29,500,Award,100,21.46,0.1998,261,140,1,422
BG-42-000095,Power Transmission,Telangana,Warangal,321.23,611,9,1,4,2,79.36,5,36.58,301,15,42.9,52.26,248,4,69,231,Objections,119,44.77,0.385,185,59,1,222
BG-42-000096,Industrial Corridor,Telangana,Hyderabad,327.96,471,9,2,5,1,66.48,7,57.62,143,32,70.54,72.74,320,5,66,201,Compensation,96,79.53,0.3665,224,81,1,305
BG-42-000097,Highway,Madhya Pradesh,Indore,45.24,139,3,3,2,1,95.62,1,35.27,57,21,14.86,2.74,19,4,56,196,Objections,121,56.17,0.4826,155,42,1,326
BG-42-000098,Irrigation,Karnataka,Bengaluru Urban,494.6,927,12,0,17,4,74.63,10,0.0,585,93,0.0,0.0,0,1,8,414,Notification,19,0.0,0.8458,167,139,1,428
BG-42-000099,Highway,Gujarat,Vadodara,80.18,165,4,3,2,1,82.81,3,12.48,127,78,24.53,22.31,40,4,82,162,Survey,134,14.88,0.2823,333,63,1,341
BG-42-000100,Highway,Madhya Pradesh,Bhopal,71.38,235,5,0,4,2,80.97,3,89.36,19,12,88.15,80.84,197,3,19,239,Possession,61,100.0,0.2167,52,49,1,184
BG-42-000101,Irrigation,Telangana,Warangal,15.22,110,6,2,2,0,99.35,2,69.49,20,35,92.73,87.09,91,0,15,76,Possession,43,100.0,0.529,120,54,0,0
BG-42-000102,Power Transmission,Karnataka,Kalaburagi,111.17,271,7,0,2,0,81.01,3,65.95,71,66,38.15,46.5,103,2,57,131,Compensation,44,76.59,0.4577,97,40,0,0
BG-42-000103,Irrigation,Madhya Pradesh,Jabalpur,35.99,112,5,2,5,4,50.72,7,9.81,83,77,13.48,0.0,15,1,27,107,Objections,55,1.94,0.595,139,115,1,354
BG-42-000104,Power Transmission,Uttar Pradesh,Varanasi,118.7,324,7,0,3,0,88.32,3,80.87,38,12,64.61,66.0,208,3,58,207,Possession,73,100.0,0.2029,349,24,0,0
BG-42-000105,Industrial Corridor,Uttar Pradesh,Varanasi,33.81,157,4,0,4,2,99.83,2,71.63,42,10,59.86,43.36,85,3,24,135,Rehabilitation & Resettlement,60,97.56,0.2378,272,96,0,0
BG-42-000106,Railway,Rajasthan,Jodhpur,360.74,752,9,1,15,2,70.15,10,94.39,26,0,97.14,97.5,679,5,102,395,Rehabilitation & Resettlement,95,100.0,0.3884,374,155,0,0
BG-42-000107,Railway,Telangana,Nizamabad,133.12,255,6,1,2,0,89.56,3,41.49,113,50,36.32,27.42,86,3,11,154,Award,125,46.64,0.5175,184,37,1,162
BG-42-000108,Irrigation,Maharashtra,Pune,530.54,1134,12,2,7,4,78.91,8,41.41,374,53,40.8,43.94,413,3,14,349,Objections,98,27.01,0.7557,92,69,1,318
BG-42-000109,Power Transmission,Rajasthan,Kota,37.77,33,5,0,4,0,72.81,1,7.62,27,84,24.0,37.71,7,7,99,44,Survey,80,17.66,0.4477,178,37,1,350
BG-42-000110,Railway,Telangana,Nizamabad,295.7,384,10,1,0,0,100.0,1,71.32,66,3,96.84,94.41,366,1,22,154,Possession,53,100.0,0.1913,7,20,0,0
BG-42-000111,Railway,Rajasthan,Udaipur,20.24,5,5,0,1,0,83.88,3,39.08,3,32,99.02,100.0,4,0,9,0,Award,66,91.62,0.2252,144,22,0,0
BG-42-000112,Railway,Tamil Nadu,Salem,101.14,223,6,0,5,0,59.65,9,11.82,132,81,0.0,3.54,0,2,19,135,Survey,132,0.0,0.3624,259,57,1,204
BG-42-000113,Railway,Maharashtra,Pune,51.66,49,5,1,1,1,77.23,1,42.8,21,33,27.46,29.14,13,2,50,46,Objections,53,39.7,0.6178,366,26,0,0
BG-42-000114,Power Transmission,Rajasthan,Jodhpur,59.84,76,3,2,1,1,84.29,2,49.11,33,54,63.44,53.06,48,2,19,54,Compensation,94,81.19,0.4862,375,30,0,0
BG-42-000115,Highway,Gujarat,Vadodara,56.64,60,8,2,2,3,73.16,2,0.0,56,99,2.42,9.3,1,2,65,73,Survey,75,6.63,0.2564,204,67,0,0
BG-42-000116,Metro,Rajasthan,Jodhpur,41.19,52,4,0,1,0,100.0,3,70.94,9,24,99.56,100.0,50,1,57,46,Rehabilitation & Resettlement,86,100.0,0.1682,7,14,0,0
BG-42-000117,Irrigation,Madhya Pradesh,Jabalpur,31.26,94,5,0,5,3,79.21,3,57.81,35,33,69.76,59.43,61,2,0,100,Rehabilitation & Resettlement,135,83.55,0.2676,20,60,0,0
BG-42-000118,Metro,Rajasthan,Udaipur,60.1,159,4,0,8,4,78.0,5,55.58,45,43,70.23,60.88,102,3,56,205,Rehabilitation & Resettlement,80,83.83,0.5473,153,68,1,335
BG-42-000119,Metro,Rajasthan,Jodhpur,93.96,234,5,1,4,1,84.86,1,33.48,89,47,23.01,16.58,50,3,85,210,Award,59,40.16,0.1941,7,61,1,306
BG-42-000120,Railway,Maharashtra,Thane,217.23,367,8,1,4,3,100.0,0,58.65,135,77,57.53,48.59,190,2,45,181,Compensation,134,56.15,0.0753,82,46,0,0
BG-42-000121,Highway,Rajasthan,Udaipur,108.45,231,5,0,5,2,100.0,2,69.31,48,16,85.54,82.42,196,1,11,154,Compensation,30,82.23,0.2195,43,72,0,0
BG-42-000122,Highway,Karnataka,Kalaburagi,217.72,250,5,1,7,3,88.9,4,40.7,130,75,46.36,48.97,112,3,35,215,Compensation,104,73.37,0.3366,71,90,1,344
BG-42-000123,Highway,Gujarat,Ahmedabad,26.24,53,5,1,4,3,69.57,4,0.0,48,103,0.0,0.0,0,4,69,88,Notification,108,0.0,0.4177,370,44,1,323
BG-42-000124,Highway,Karnataka,Mysuru,60.56,113,6,1,7,3,74.21,6,37.59,56,23,71.72,71.46,73,1,38,105,Award,58,76.9,0.2638,391,63,0,0
BG-42-000125,Highway,Madhya Pradesh,Bhopal,151.23,253,6,0,6,3,79.23,5,5.21,165,59,1.76,0.0,4,1,1,188,Notification,127,11.98,0.2593,310,73,0,0
BG-42-000126,Railway,Tamil Nadu,Chennai,112.68,117,7,0,3,0,85.51,1,20.27,57,75,9.87,16.2,11,2,47,87,Award,58,33.08,0.4645,7,22,1,207
BG-42-000127,Highway,Uttar Pradesh,Lucknow,42.99,23,5,1,0,2,91.05,1,5.54,13,125,27.7,32.74,6,4,66,3,Objections,91,29.28,0.3096,58,26,1,250
BG-42-000128,Irrigation,Karnataka,Mysuru,180.78,312,6,0,3,1,59.65,4,43.59,141,64,19.55,34.32,60,0,0,210,Survey,34,69.45,0.3969,400,138,1,307
BG-42-000129,Highway,Karnataka,Bengaluru Urban,55.98,63,5,1,2,1,80.9,2,3.92,45,111,8.33,0.0,5,1,36,50,Survey,110,20.06,0.4169,376,57,1,279
BG-42-000130,Railway,Madhya Pradesh,Indore,45.98,40,6,1,5,1,99.4,5,37.11,21,56,48.76,37.53,19,1,0,104,Compensation,58,76.54,0.6698,239,53,1,183
BG-42-000131,Irrigation,Tamil Nadu,Salem,126.41,212,5,1,5,2,76.5,5,44.05,69,84,48.3,35.76,100,2,30,210,Survey,89,38.15,0.5262,192,80,0,0
BG-42-000132,Highway,Rajasthan,Udaipur,86.05,215,6,0,5,1,93.88,4,100.0,0,27,100.0,100.0,204,1,42,166,Possession,16,100.0,0.2544,47,40,0,0
BG-42-000133,Metro,Madhya Pradesh,Gwalior,56.35,91,5,2,0,1,91.87,0,74.96,14,0,100.0,86.78,83,1,39,95,Compensation,88,78.39,0.2382,194,43,1,173
BG-42-000134,Power Transmission,Rajasthan,Jaipur,54.84,74,7,1,2,2,84.96,0,6.7,63,76,47.91,42.38,32,5,61,63,Objections,97,12.74,0.2975,479,58,1,260
BG-42-000135,Industrial Corridor,Maharashtra,Nagpur,36.39,23,5,0,1,1,83.06,3,73.38,4,14,57.73,43.1,13,3,56,35,Compensation,102,96.58,0.5306,122,53,0,0
BG-42-000136,Highway,Tamil Nadu,Madurai,62.39,89,4,2,3,1,85.98,4,0.49,50,75,0.36,0.0,0,6,85,116,Notification,161,0.0,0.3956,223,45,1,360
BG-42-000137,Power Transmission,Uttar Pradesh,Lucknow,206.44,395,7,3,12,3,80.55,6,100.0,0,24,73.18,72.96,278,2,71,304,Possession,117,83.6,0.3144,120,145,0,0
BG-42-000138,Industrial Corridor,Tamil Nadu,Salem,104.13,132,8,0,4,3,73.1,4,28.18,72,91,20.24,21.96,26,4,43,109,Award,46,35.23,0.4192,35,37,0,0
BG-42-000139,Railway,Karnataka,Mysuru,184.36,220,7,1,6,0,74.49,5,68.62,39,32,49.76,46.97,98,2,30,168,Rehabilitation & Resettlement,46,71.24,0.3963,202,62,1,253
BG-42-000140,Highway,Rajasthan,Udaipur,129.39,335,7,1,7,2,63.9,6,0.0,221,77,0.0,0.0,0,0,21,233,Notification,109,15.51,0.2902,287,74,1,390
BG-42-000141,Highway,Uttar Pradesh,Lucknow,52.47,141,4,1,3,0,75.65,3,22.67,85,77,32.33,34.39,40,2,64,184,Award,85,64.97,0.4134,66,46,1,273
